CMDLINE /Users/natedake/.virtualenvs/intuitiveml/bin/python3.6 profiling_1.py
MEM 0.269531 1559674853.0599
MEM 15.207031 1559674853.1611
MEM 26.226562 1559674853.2658
MEM 36.000000 1559674853.3694
MEM 40.429688 1559674853.4746
MEM 40.429688 1559674853.5777
MEM 40.429688 1559674853.6824
MEM 40.429688 1559674853.7875
MEM 40.429688 1559674853.8925
MEM 40.457031 1559674853.9976
MEM 52.277344 1559674854.1015
MEM 64.683594 1559674854.2027
MEM 76.421875 1559674854.3067
MEM 90.898438 1559674854.4112
MEM 102.339844 1559674854.5158
MEM 120.964844 1559674854.6160
MEM 123.613281 1559674854.7212
MEM 124.167969 1559674854.8213
MEM 124.496094 1559674854.9225
MEM 124.765625 1559674855.0277
MEM 125.007812 1559674855.1324
MEM 125.242188 1559674855.2353
MEM 125.441406 1559674855.3356
MEM 125.625000 1559674855.4392
MEM 125.816406 1559674855.5444
MEM 125.984375 1559674855.6466
MEM 126.160156 1559674855.7518
MEM 126.332031 1559674855.8561
MEM 126.484375 1559674855.9585
MEM 126.621094 1559674856.0595
MEM 126.746094 1559674856.1612
MEM 126.878906 1559674856.2659
MEM 127.007812 1559674856.3669
MEM 127.132812 1559674856.4700
MEM 127.257812 1559674856.5710
MEM 127.402344 1559674856.6762
MEM 127.523438 1559674856.7797
MEM 127.660156 1559674856.8848
MEM 127.792969 1559674856.9900
MEM 127.925781 1559674857.0902
MEM 128.062500 1559674857.1925
MEM 128.207031 1559674857.2935
MEM 128.347656 1559674857.3986
MEM 128.480469 1559674857.4992
MEM 128.617188 1559674857.5996
MEM 128.765625 1559674857.6999
MEM 128.921875 1559674857.8035
MEM 129.058594 1559674857.9084
MEM 129.199219 1559674858.0114
MEM 129.339844 1559674858.1160
MEM 129.472656 1559674858.2198
FUNC __main__.calc_pure_python 47.3555 1559674854.0716 128.6992 1559674860.3501
FUNC __main__.calculate_z_serial_purepython 111.6562 1559674854.5807 136.3164 1559674860.3346
MEM 129.621094 1559674858.3224
MEM 129.769531 1559674858.4276
MEM 129.917969 1559674858.5327
MEM 130.050781 1559674858.6365
MEM 130.187500 1559674858.7370
MEM 130.335938 1559674858.8386
MEM 130.472656 1559674858.9399
MEM 130.625000 1559674859.0414
MEM 130.777344 1559674859.1449
MEM 130.941406 1559674859.2461
MEM 131.121094 1559674859.3513
MEM 131.320312 1559674859.4547
MEM 131.515625 1559674859.5560
MEM 131.714844 1559674859.6598
MEM 131.953125 1559674859.7635
MEM 132.179688 1559674859.8660
MEM 132.402344 1559674859.9684
MEM 132.718750 1559674860.0717
MEM 133.210938 1559674860.1769
MEM 135.003906 1559674860.2777
MEM 128.699219 1559674860.3826
